iata_code,name,iso_country,iso_region,municipality,type,lat,lon
AAA,Anaa Airport,PF,PF-U-A,,medium,-145.51,-17.3526
AAB,Arrabury Airport,AU,AU-QLD,,small,141.0478,-26.693
AAC,El Arish International Airport,EG,EG-SIN,El Arish,medium,33.8358,31.0733
AAD,Adado Airport,SO,SO-GA,Adado,small,46.6375,6.0958
AAE,Rabah Bitat Airport,DZ,DZ-36,Annaba,medium,7.8092,36.8222
AAF,Apalachicola Regional Airport,US,US-FL,Apalachicola,small,-85.0275,29.7275
AAG,Avelino Vieira Airport,BR,BR-PR,Arapoti,small,-49.7891,-24.1039
AAH,Aachen-Merzbrück Airport,DE,DE-NW,Aachen,small,6.1864,50.8231
AAI,Arraias Airport,BR,BR-TO,Arraias,small,-46.8841,-13.0252
AAJ,Cayana Airstrip,SR,SR-SI,Awaradam,small,-55.5779,3.8987
AAK,Aranuka Airport,KI,KI-G,Buariki,small,173.637,0.1853
AAL,Aalborg Airport,DK,DK-81,Aalborg,large,9.8492,57.0928
AAM,Malamala Airport,ZA,ZA-NP,Malamala,medium,31.5446,-24.8181
AAN,Al Ain International Airport,AE,AE-AZ,Al Ain,medium,55.6092,24.2617
AAO,Anaco Airport,VE,VE-B,Anaco,medium,-64.4707,9.4302
AAP,Aji Pangeran Tumenggung Pranoto International Airport,ID,ID-KI,Samarinda,large,117.2494,-0.3744
AAQ,Anapa Vityazevo Airport,RU,RU-KDA,Anapa,medium,37.3473,45.0021
AAR,Aarhus Airport,DK,DK-82,Aarhus,medium,10.619,56.3
AAS,Apalapsili Airport,ID,ID-PA,Apalapsili,small,139.3108,-3.8832
AAT,Altay Air Base,CN,CN-65,Altay,medium,88.0858,47.7499
AAU,Asau Airport,WS,WS-VS,Asau,small,-172.6279,-13.5051
AAV,Allah Valley Airport,PH,PH-SCO,Surallah,medium,124.751,6.3668
AAX,Romeu Zema Airport,BR,BR-MG,AraxÃ¡,small,-46.9604,-19.5632
AAY,Al Ghaidah International Airport,YE,YE-MR,,medium,52.175,16.1917
AAZ,Quezaltenango Airport,GT,GT-QZ,Quezaltenango,small,-91.502,14.8656
ABA,Abakan Airport,RU,RU-KK,Abakan,medium,91.385,53.74
ABB,Asaba International Airport,NG,NG-DE,Asaba,medium,6.6653,6.2042
ABC,Albacete-Los Llanos Airport,ES,ES-CM,Albacete,medium,-1.8635,38.9485
ABD,Abadan Airport,IR,IR-10,Abadan,medium,48.2283,30.3711
ABE,Lehigh Valley International Airport,US,US-PA,Allentown,medium,-75.4408,40.6521
ABF,Abaiang Airport,KI,KI-G,Abaiang,small,173.041,1.7986
ABG,Abingdon Downs Airport,AU,AU-QLD,,small,143.167,-17.6167
ABH,Alpha Airport,AU,AU-QLD,Alpha,medium,146.584,-23.6461
ABI,Abilene Regional Airport,US,US-TX,Abilene,medium,-99.6819,32.4113
ABJ,Port Bouet Airport,CI,CI-01,Abidjan,medium,-3.9263,5.2614
ABK,Kabri Dehar Airport,ET,ET-SO,Kabri Dehar,small,44.253,6.734
ABL,Ambler Airport,US,US-AK,Ambler,medium,-157.857,67.1063
ABM,Northern Peninsula Airport,AU,AU-QLD,Bamaga,small,142.459,-10.9508
ABN,Albina Airport,SR,SR-MA,Albina,small,-54.0501,5.5127
ABO,Aboisso Airport,CI,CI-13,Aboisso,small,-3.2347,5.4619
ABP,Atkamba Airport,PG,PG-WPD,Atkamba Mission,small,141.0953,-6.0656
ABQ,Albuquerque International Sunport,US,US-NM,Albuquerque,large,-106.609,35.0402
ABR,Aberdeen Regional Airport,US,US-SD,Aberdeen,medium,-98.4218,45.4491
ABS,Abu Simbel Airport,EG,EG-ASN,Abu Simbel,medium,31.6117,22.376
ABT,Al Baha Airport,SA,SA-11,,medium,41.6343,20.2961
ABU,Haliwen Airport,ID,ID-NT,Atambua-Timor Island,small,124.905,-9.073
ABV,Nnamdi Azikiwe International Airport,NG,NG-FC,Abuja,large,7.2632,9.0068
ABW,Abau Airport,PG,PG-CPM,Abau,closed,148.7389,-10.1956
ABX,Albury Airport,AU,AU-NSW,Albury,medium,146.958,-36.0678
ABY,Southwest Georgia Regional Airport,US,US-GA,Albany,medium,-84.1945,31.5355
ABZ,Aberdeen Dyce Airport,GB,GB-SCT,Aberdeen,large,-2.1978,57.2019
ACA,General Juan N Alvarez International Airport,MX,MX-GRO,Acapulco,large,-99.754,16.7571
ACB,Antrim County Airport,US,US-MI,Bellaire,small,-85.1984,44.9886
ACC,Kotoka International Airport,GH,GH-AA,Accra,large,-0.1668,5.6052
ACD,Alcides Fernández Airport,CO,CO-CHO,AcandÃ­,small,-77.3,8.5167
ACE,Lanzarote Airport,ES,ES-CN,Lanzarote Island,medium,-13.6052,28.9455
ACF,Brisbane Archerfield Airport,AU,AU-QLD,Brisbane,small,153.008,-27.5703
ACH,St Gallen Altenrhein Airport,CH,CH-SG,Altenrhein,medium,9.5608,47.485
ACI,Alderney Airport,GG,GG-U-A,Saint Anne,medium,-2.2147,49.7061
ACJ,Anuradhapura Air Force Base,LK,LK-7,Anuradhapura,medium,80.4279,8.3015
ACK,Nantucket Memorial Airport,US,US-MA,Nantucket,medium,-70.0602,41.2531
ACL,Aguaclara Airport,CO,CO-CAS,Aguaclara,small,-73.0028,4.7536
ACM,Arica Airport,CO,CO-AMA,Arica,small,-71.7581,-2.1454
ACN,Ciudad Acuña New International Airport,MX,MX-COA,Ciudad AcuÃ±a,small,-101.099,29.3329
ACO,Ascona Airport,CH,CH-TI,Ascona,closed,8.7819,46.1578
ACP,Sahand Airport,IR,IR-01,Maragheh,small,46.1279,37.348
ACR,Araracuara Airport,CO,CO-CAQ,Araracuara,small,-72.4083,-0.5833
ACS,Achinsk Airport,RU,RU-KYA,Achinsk,medium,90.5708,56.2683
ACT,Waco Regional Airport,US,US-TX,Waco,medium,-97.2305,31.6113
ACU,Achutupo Airport,PA,PA-5,Achutupo,small,-77.9652,8.4317
ACV,California Redwood Coast-Humboldt County Airport,US,US-CA,Arcata/Eureka,medium,-124.109,40.9781
ACX,Xingyi Airport,CN,CN-52,Xingyi,medium,104.9594,25.0864
ACY,Atlantic City International Airport,US,US-NJ,Atlantic City,medium,-74.5772,39.4576
ACZ,Zabol Airport,IR,IR-13,,medium,61.5439,31.0983
ADA,Adana Airport,TR,TR-01,Adana,large,35.2804,36.9822
ADB,Adnan Menderes International Airport,TR,TR-35,Ä°zmir,large,27.157,38.2924
ADC,Andakombe Airport,PG,PG-EHG,Andekombe,small,145.7447,-7.1372
ADD,Addis Ababa Bole International Airport,ET,ET-AA,Addis Ababa,large,38.7993,8.9779
ADE,Aden International Airport,YE,YE-AD,Aden,medium,45.0288,12.8295
ADF,Adıyaman Airport,TR,TR-02,AdÄ±yaman,medium,38.4689,37.7314
ADG,Lenawee County Airport,US,US-MI,Adrian,small,-84.0773,41.8677
ADH,Aldan Airport,RU,RU-SA,Aldan,small,125.409,58.6028
ADI,Arandis Airport,,NA-ER,Arandis,medium,14.98,-22.4622
ADJ,Amman-Marka International Airport,JO,JO-AM,Amman,medium,35.9916,31.9727
ADK,Adak Airport,US,US-AK,Adak Island,medium,-176.646,51.878
ADL,Adelaide International Airport,AU,AU-SA,Adelaide,large,138.531,-34.945
ADM,Ardmore Municipal Airport,US,US-OK,Ardmore,small,-97.0196,34.303
