iata_code,name,code
AAA,Anaa (AAA),524
AAE,Annaba (AAE),527
AAK,Aranuka (AAK),533
AAL,Aalborg (AAL),1
AAM,Mala Mala (AAM),534
AAN,Al Ain (AAN),535
AAP,Samarinda (AAP),8661
AAR,Aarhus (AAR),2
AAT,Altay (AAT),540
AAX,Araxá (AAX),545
AAY,Al Ghaydah (AAY),546
AAZ,Quetzaltenango (AAZ),547
ABA,Abakan (ABA),548
ABB,Asaba (ABB),8094
ABD,Abadan (ABD),550
ABE,Allentown (ABE),551
ABF,Abaiang (ABF),552
ABI,Abilene (ABI),555
ABJ,Abidjan (ABJ),556
ABK,Kebri Dehar (ABK),557
ABL,Ambler (ABL),558
ABM,Bamaga (ABM),559
ABQ,Albuquerque (ABQ),563
ABR,Aberdeen (ABR),564
ABS,Abu Simbel (ABS),565
ABT,Al-Baha (ABT),566
ABU,Atambua (ABU),567
ABV,Abuja (ABV),568
ABX,Albury (ABX),570
ABY,Albany (ABY),571
ABZ,Aberdeen (ABZ),3
ACA,Acapulco (ACA),572
ACC,Accra (ACC),574
ACE,Lanzarote (Arrecife) (ACE),20
ACF,Alaer (ACF),8908
ACH,St Gallen Altenrhein (ACH),398
ACI,Alderney (ACI),576
ACK,Nantucket (ACK),577
ACP,Bonab (ACP),7683
ACT,Waco (ACT),584
ACV,Arcata / Eureka (ACV),586
ACX,"Xingyi, Guizhou (ACX)",7684
ACY,Atlantic City (ACY),587
ACZ,Zabol (ACZ),588
ADA,Adana (ADA),380
ADB,Izmir (ADB),133
ADD,Addis Ababa (ADD),590
ADE,Aden (ADE),591
ADF,Adıyaman (ADF),592
ADK,Adak Island (ADK),596
ADL,Adelaide (ADL),597
ADQ,Kodiak (ADQ),602
ADU,Ardabil (ADU),606
ADZ,San Andrés (ADZ),611
AEA,Abemama Atoll (AEA),612
AEB,Baise (AEB),613
AEM,Amgu (AEM),8520
AEP,Buenos Aires (AEP),620
AER,Sochi (AER),459
AES,Ålesund (AES),409
AET,Allakaket (AET),621
AEU,Abu Musa (AEU),7686
AEX,Alexandria (AEX),622
AEY,Akureyri (AEY),6
AFA,San Rafael (AFA),623
AFL,Alta Floresta (AFL),627
AGA,Agadir (AGA),4
AGH,Ängelholm (AGH),446
AGM,Tasiilaq (AGM),644
AGN,Angoon (AGN),645
AGP,Málaga (AGP),188
AGR,Agra (AGR),648
AGS,Augusta (AGS),649
AGT,Ciudad del Este (AGT),650
AGU,Aguascalientes (AGU),651
AGX,Agatti Island (AGX),654
AHB,Abha (AHB),657
AHE,Ahe (AHE),660
AHJ,Hongyuan (AHJ),8282
AHO,Alghero (Sardinia) (AHO),8
AHU,Al Hoceima (AHU),7
AIA,Alliance (AIA),669
AIC,Airok (AIC),670
AIM,Ailuk (AIM),679
AIN,Wainwright (AIN),680
AIP,Adampur (AIP),8654
AIR,Aripuanã (AIR),8462
AIS,Arorae Island (AIS),684
AIT,Aitutaki (AIT),685
AJA,Ajaccio (Corsica) (AJA),5
AJF,Al-Jawf (AJF),692
AJI,Ağrı (AJI),693
AJL,Aizawl (AJL),695
AJN,Anjouan (AJN),696
AJR,Arvidsjaur (AJR),411
AJU,Aracaju (AJU),699
AJY,Agadez (AJY),700
AKA,Ankang (AKA),701
AKI,Akiak (AKI),708
AKJ,Asahikawa (AKJ),709
AKK,Akhiok (AKK),710
AKL,Auckland (AKL),8655
AKN,King Salmon (AKN),713
AKP,Anaktuvuk Pass (AKP),715
AKR,Akure (AKR),717
AKS,Auki (AKS),718
AKU,Aksu (AKU),720
AKV,Akulivik (AKV),721
AKX,Aktobe (Aktyubinsk) (AKX),722
AKY,Sittwe (AKY),723
ALA,Almaty (ALA),724
ALB,Albany (ALB),725
ALC,Alicante (ALC),9
ALF,Alta (ALF),11
ALG,Algiers (ALG),395
ALH,Albany (ALH),728
ALO,Waterloo (ALO),734
ALP,Aleppo (ALP),735
ALQ,Alegrete (ALQ),8784
ALS,Alamosa (ALS),738
ALW,Walla Walla (ALW),742
ALZ,Lazy Bay (ALZ),745
AMA,Amarillo (AMA),746
AMD,Ahmedabad (AMD),749
AMH,Arba Minch (AMH),753
AMM,Amman (AMM),397
AMQ,"Ambon, Maluku (AMQ)",761
AMS,Amsterdam (AMS),12
ANA,Maasai Mara (Angama) (ANA),8613
ANC,Anchorage (ANC),771
ANF,Antofagasta (ANF),773
ANI,Aniak (ANI),775
ANR,Antwerp (ANR),17
ANU,"St. John's, Antigua (ANU)",786
ANV,Anvik (ANV),787
ANX,Andenes (ANX),410
AOE,Eskişehir (AOE),794
AOG,Anshan (AOG),795
AOI,Ancona (AOI),13
AOJ,Aomori (AOJ),797
AOK,Karpathos (AOK),355
AOO,Altoona (AOO),800
AOQ,Aappilattoq (AOQ),8140
AOR,"Alor Setar, Kedah (AOR)",801
AOS,Amook Bay (AOS),802
APK,Apataki (APK),813
APL,Nampula (APL),814
APN,Alpena (APN),815
APO,Apartadó (APO),816
APW,Apia (APW),824
AQA,Araraquara (AQA),828
AQG,Anqing (AQG),830
AQI,Al Qaisumah / Hafr Al-Batin (AQI),831
AQJ,Aqaba (AQJ),449
AQP,Arequipa (AQP),833
ARC,Arctic Village (ARC),837
ARD,Alor Island (ARD),838
ARH,Arkhangelsk (ARH),842
ARI,Arica (ARI),843
ARK,Arusha (ARK),845
ARM,Armidale (ARM),847
ARN,Stockholm (Arlanda) (ARN),286
ART,Watertown (ART),853
ARU,Araçatuba (ARU),854
ARX,Aracati (ARX),8586
ASB,Ashgabat (ASB),860
ASE,Aspen (ASE),863
ASF,Astrakhan (ASF),864
ASJ,Amami Island (ASJ),868
ASM,Asmara (ASM),871
ASO,Asosa (ASO),873
ASP,Alice Springs (ASP),874
ASR,Kayseri (ASR),381
ASU,Asunción (ASU),877
ASV,Amboseli National Park (ASV),878
ASW,Aswan (ASW),879
ATA,Huaraz (ATA),883
ATD,Atoifi (ATD),886
ATH,Athens (ATH),21
ATK,Atqasuk (ATK),892
ATL,Atlanta (ATL),893
ATM,Altamira (ATM),894
ATQ,"Amritsar, Punjab (ATQ)",898
ATT,Atmautluak (ATT),901
ATW,Appleton (ATW),904
ATY,Watertown (ATY),906
