iata_code_from,iata_code_to
AAA,FAC
AAA,MKP
AAA,PPT
AAE,IST
AAE,LYS
AAE,MRS
AAE,CDG
AAE,ORY
AAE,ALG
AAE,ORN
AAE,ELU
AAE,JED
AAE,MED
AAK,TRW
AAL,ALC
AAL,AMS
AAL,AYT
AAL,BCN
AAL,GRO
AAL,BLL
AAL,FNC
AAL,CPH
AAL,STN
AAL,AGP
AAL,NAP
AAL,NCE
AAL,OSL
AAL,PMI
AAL,TFS
AAL,RNN
AAL,GZP
AAL,FAE
AAL,SCR
AAM,JNB
AAN,CAI
AAN,AMM
AAN,CCJ
AAN,ISB
AAN,KHT
AAN,TUK
AAP,BEJ
AAP,CGK
AAP,DPS
AAP,SUB
AAP,TRK
AAP,UPG
AAP,YIA
AAR,ALC
AAR,CFU
AAR,FAO
AAR,GDN
AAR,HRG
AAR,CPH
AAR,STN
AAR,AGP
AAR,OSL
AAR,PMI
AAR,RIX
AAR,ARN
AAR,ZAD
AAR,BMA
AAR,SCR
AAT,AKU
AAT,CAN
AAT,CGQ
AAT,KCA
AAT,KRL
AAT,KRY
AAT,PVG
AAT,URC
AAT,WUH
AAT,XIY
AAT,YIN
AAT,TCG
AAT,LHW
AAT,TLQ
AAT,PKX
AAT,TFU
AAX,CNF
AAX,GRU
AAX,POJ
AAX,UBA
AAY,ADE
AAY,JED
AAY,SCT
AAZ,GUA
ABA,DME
ABA,SVO
ABA,LED
ABA,AER
ABA,KJA
ABA,NSK
ABA,OMS
ABA,OVB
ABA,KCY
ABB,ABV
ABB,LOS
ABD,IFN
ABD,MHD
ABD,SYZ
ABD,THR
ABE,ATL
ABE,BNA
ABE,CLT
ABE,DEN
ABE,FLL
ABE,MCO
ABE,MLB
ABE,MYR
ABE,ORD
ABE,PGD
ABE,PIE
ABE,SFB
ABE,SRQ
ABF,TRW
ABI,DFW
ABJ,BRU
ABJ,CAI
ABJ,CMN
ABJ,IST
ABJ,CDG
ABJ,ORY
ABJ,TUN
ABJ,ALG
ABJ,ABV
ABJ,ACC
ABJ,ADD
ABJ,BJL
ABJ,BKO
ABJ,BOY
ABJ,BYK
ABJ,BZV
ABJ,CKY
ABJ,COO
ABJ,DOH
ABJ,FIH
ABJ,HGO
ABJ,JFK
ABJ,KEO
ABJ,LBV
ABJ,LFW
ABJ,LOS
ABJ,MJC
ABJ,NBO
ABJ,NIM
ABJ,NKC
ABJ,NSI
ABJ,OUA
ABJ,OXB
ABJ,PNR
ABJ,ROB
ABJ,SPY
ABJ,DSS
ABK,JIJ
ABL,OTZ
ABL,SHG
ABM,CNS
ABM,HID
ABQ,ATL
ABQ,AUS
ABQ,BUR
ABQ,BWI
ABQ,CNM
ABQ,DAL
ABQ,DEN
ABQ,DFW
ABQ,HOU
ABQ,IAH
ABQ,JFK
ABQ,LAS
ABQ,LAX
ABQ,LGB
ABQ,LRU
ABQ,MCI
ABQ,MCO
ABQ,MDW
ABQ,MSP
ABQ,OAK
ABQ,ORD
ABQ,PDX
ABQ,PHX
ABQ,SAN
ABQ,SAT
ABQ,SEA
ABQ,SFO
ABQ,SVC
ABQ,SLC
ABR,MSP
ABS,CAI
ABS,ASW
ABT,DMM
ABT,JED
ABT,RUH
ABU,KOE
ABV,CAI
ABV,CMN
ABV,FRA
ABV,IST
ABV,LHR
ABV,CDG
ABV,ABJ
ABV,ACC
ABV,ADD
ABV,AKR
ABV,BNI
ABV,CBQ
ABV,DLA
ABV,DOH
ABV,ENU
ABV,IBA
ABV,ILR
ABV,JED
ABV,JOS
ABV,KAN
ABV,KGL
ABV,LFW
ABV,LOS
ABV,MDI
ABV,MIU
ABV,NDJ
ABV,NSI
ABV,PHC
ABV,QOW
ABV,YOL
ABV,DKA
ABV,GMO
ABV,QRW
ABV,QUO
ABV,SKO
ABV,ABB
ABV,BCU
ABX,BNE
ABX,MEL
ABX,SYD
ABY,ATL
ABZ,ALC
ABZ,AMS
ABZ,BHD
ABZ,BGO
ABZ,BHX
ABZ,BRS
ABZ,DUB
ABZ,MME
ABZ,EBJ
ABZ,FAO
ABZ,GDN
ABZ,GVA
ABZ,HUY
ABZ,CPH
ABZ,LGW
ABZ,LHR
ABZ,LTN
ABZ,AGP
ABZ,MAN
ABZ,NWI
ABZ,RIX
ABZ,SVG
ABZ,KOI
ABZ,LSI
ABZ,WIC
ACA,DFW
ACA,GDL
ACA,IAH
ACA,MEX
ACA,TIJ
ACA,YUL
ACA,NLU
ACC,AMS
ACC,BRU
ACC,CAI
ACC,CMN
ACC,IST
ACC,LIS
ACC,LGW
ACC,LHR
ACC,CDG
ACC,FCO
ACC,BEY
ACC,ABJ
ACC,ABV
ACC,ADD
ACC,COO
ACC,DOH
ACC,DXB
ACC,FNA
ACC,IAD
ACC,JFK
ACC,JNB
ACC,KGL
ACC,KMS
ACC,LFW
ACC,LOS
ACC,NBO
ACC,NYI
ACC,OUA
ACC,ROB
ACC,TKD
ACC,TML
ACC,TMS
ACC,DSS
ACC,WZA
ACE,ALC
ACE,AMS
ACE,BCN
ACE,BSL
ACE,BFS
ACE,BIO
ACE,BHX
ACE,BUD
ACE,BLQ
ACE,BOD
ACE,BOH
ACE,BTS
ACE,BRE
ACE,BES
ACE,BRS
ACE,BRU
ACE,CRL
ACE,CGN
ACE,ORK
ACE,DUB
ACE,DUS
ACE,EDI
ACE,EIN
ACE,FAO
ACE,FRA
ACE,FUE
ACE,FNC
ACE,GVA
ACE,GLA
ACE,PIK
ACE,HAM
ACE,HAJ
ACE,NOC
ACE,CPH
ACE,SPC
ACE,LPA
ACE,LBA
ACE,LEJ
ACE,LPL
ACE,LGW
ACE,LTN
ACE,STN
ACE,LUX
ACE,LYS
ACE,MAD
ACE,AGP
ACE,MAN
ACE,RAK
ACE,MRS
ACE,BGY
ACE,MXP
ACE,MUC
ACE,NTE
ACE,NCL
ACE,NRN
ACE,EMA
ACE,NUE
ACE,OSL
ACE,OVD
ACE,CDG
ACE,ORY
ACE,PRG
ACE,LIL
ACE,RTM
ACE,SCQ
ACE,SVQ
ACE,SNN
ACE,STR
ACE,TFN
ACE,TFS
ACE,TLS
ACE,TRN
ACE,VLC
ACE,VLL
ACE,TSF
ACE,VGO
ACE,VIE
ACE,ZAG
ACE,ZRH
ACE,FMM
ACE,SXB
ACE,BER
ACE,GLN
ACF,AKU
ACF,CGO
ACF,KCA
ACF,KHG
ACF,KRL
ACF,URC
ACF,YIN
ACF,TLQ
ACF,SHF
ACF,RQA
ACF,TWC
