option,connection_leg,_id,datetime_access,days_advance,airport_dep,airport_arr,datetime_dep,datetime_arr,price,n_stops,stops,stop_layover_time,airline,duration,flight_combination,url,departing_flight_id
1,1,a6301a01-384b-4612-8c14-dea2cd3de7ed,2024-06-26 23:27:41.258647,30.0,FCO,FMM,2024-07-26 16:30:00,2024-07-26 18:05:00,19.0,0.0,,,Ryanair,0 days 01:35:00,,https://www.google.com/travel/flights?q=Flights%20to%20FMM%20from%20FCO%20on%202024-07-26%20oneway%20direct&curr=EUR&gl=IT,
1,1,a910cc4b-f85e-4bbd-b9c9-a33554880182,2024-06-26 23:27:41.258647,30.0,FCO,FMM,2024-07-26 07:10:00,2024-07-26 08:50:00,36.0,0.0,,,Wizz Air,0 days 01:40:00,,https://www.google.com/travel/flights?q=Flights%20to%20FMM%20from%20FCO%20on%202024-07-26%20oneway%20direct&curr=EUR&gl=IT,
2,1,0fd7f84d-0a67-4ddc-ad61-e2c30392d69b,2024-06-26 23:27:41.258647,29.0,FCO,AHO,2024-07-25 09:00:00,2024-07-25 10:05:00,49.0,0.0,,,AEROITALIA SRL,0 days 01:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20AHO%20from%20FCO%20on%202024-07-25%20oneway%20direct&curr=EUR&gl=IT,
2,1,fea13a7f-67aa-4bf4-a826-8afa46e0872d,2024-06-26 23:27:41.258647,29.0,FCO,AHO,2024-07-25 13:15:00,2024-07-25 14:20:00,49.0,0.0,,,AEROITALIA SRL,0 days 01:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20AHO%20from%20FCO%20on%202024-07-25%20oneway%20direct&curr=EUR&gl=IT,
2,1,7534a549-583a-4f4d-8b68-5bad73f7df6c,2024-06-26 23:27:41.258647,29.0,FCO,AHO,2024-07-25 17:20:00,2024-07-25 18:25:00,49.0,0.0,,,AEROITALIA SRL,0 days 01:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20AHO%20from%20FCO%20on%202024-07-25%20oneway%20direct&curr=EUR&gl=IT,
2,1,99ff4635-80ac-41ca-a6b0-46cd12e96e10,2024-06-26 23:27:41.258647,29.0,FCO,AHO,2024-07-25 21:25:00,2024-07-25 22:30:00,49.0,0.0,,,AEROITALIA SRL,0 days 01:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20AHO%20from%20FCO%20on%202024-07-25%20oneway%20direct&curr=EUR&gl=IT,
2,2,57f0432f-9825-4b62-a702-8f0e5054b93b,2024-06-26 23:27:41.258647,29.0,AHO,FMM,2024-07-25 11:25:00,2024-07-25 13:05:00,28.0,0.0,,,Ryanair,0 days 01:40:00,,https://www.google.com/travel/flights?q=Flights%20to%20FMM%20from%20AHO%20on%202024-07-25%20oneway%20direct&curr=EUR&gl=IT,
3,1,64bad6cf-6325-49c6-93f1-19e029b5c0b3,2024-06-26 23:27:41.258647,30.0,FCO,AHO,2024-07-26 21:25:00,2024-07-26 22:30:00,54.0,0.0,,,AEROITALIA SRL,0 days 01:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20AHO%20from%20FCO%20on%202024-07-26%20oneway%20direct&curr=EUR&gl=IT,
3,1,63bacb40-5b2c-455e-96e3-238eee078c1a,2024-06-26 23:27:41.258647,30.0,FCO,AHO,2024-07-26 09:00:00,2024-07-26 10:05:00,64.0,0.0,,,AEROITALIA SRL,0 days 01:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20AHO%20from%20FCO%20on%202024-07-26%20oneway%20direct&curr=EUR&gl=IT,
3,1,441e691c-b3fd-43f6-b3fc-96279b49ef53,2024-06-26 23:27:41.258647,30.0,FCO,AHO,2024-07-26 13:15:00,2024-07-26 14:20:00,64.0,0.0,,,AEROITALIA SRL,0 days 01:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20AHO%20from%20FCO%20on%202024-07-26%20oneway%20direct&curr=EUR&gl=IT,
3,1,79c4b0e2-c8b7-454e-8fe8-c4b3141e857b,2024-06-26 23:27:41.258647,30.0,FCO,AHO,2024-07-26 17:20:00,2024-07-26 18:25:00,69.0,0.0,,,AEROITALIA SRL,0 days 01:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20AHO%20from%20FCO%20on%202024-07-26%20oneway%20direct&curr=EUR&gl=IT,
4,1,432e318f-903d-4f13-948c-88988c5fdb22,2024-06-26 23:27:41.258647,29.0,FCO,ALC,2024-07-25 18:35:00,2024-07-25 20:50:00,96.0,0.0,,,VuelingIberia,0 days 02:15:00,,https://www.google.com/travel/flights?q=Flights%20to%20ALC%20from%20FCO%20on%202024-07-25%20oneway%20direct&curr=EUR&gl=IT,
4,1,c9833bee-b968-465d-81f2-2df47f9360f6,2024-06-26 23:27:41.258647,29.0,FCO,ALC,2024-07-25 06:15:00,2024-07-25 08:30:00,103.0,0.0,,,Ryanair,0 days 02:15:00,,https://www.google.com/travel/flights?q=Flights%20to%20ALC%20from%20FCO%20on%202024-07-25%20oneway%20direct&curr=EUR&gl=IT,
5,1,95a3a757-fdbb-4050-bd79-65b1bab85994,2024-06-26 23:27:41.258647,30.0,FCO,ALC,2024-07-26 06:05:00,2024-07-26 08:20:00,60.0,0.0,,,Ryanair,0 days 02:15:00,,https://www.google.com/travel/flights?q=Flights%20to%20ALC%20from%20FCO%20on%202024-07-26%20oneway%20direct&curr=EUR&gl=IT,
5,1,92ce9a0a-a2c0-478e-8181-6cc480055067,2024-06-26 23:27:41.258647,30.0,FCO,ALC,2024-07-26 11:25:00,2024-07-26 13:45:00,80.0,0.0,,,Wizz Air,0 days 02:20:00,,https://www.google.com/travel/flights?q=Flights%20to%20ALC%20from%20FCO%20on%202024-07-26%20oneway%20direct&curr=EUR&gl=IT,
5,2,c4226b75-bf85-4e7e-afa0-31587fc1d4a7,2024-06-26 23:27:41.258647,30.0,ALC,FMM,2024-07-26 07:25:00,2024-07-26 09:50:00,45.0,0.0,,,Ryanair,0 days 02:25:00,,https://www.google.com/travel/flights?q=Flights%20to%20FMM%20from%20ALC%20on%202024-07-26%20oneway%20direct&curr=EUR&gl=IT,
