option,datetime_access,days_advance,airport_dep,airport_arr,datetime_dep,datetime_arr,price,n_stops,stops,stop_layover_time,airline,duration,flight_combination,url
1,2024-06-20 11:53:52.693412,5,FCO,LIS,2024-06-25 20:30:00,2024-06-25 22:40:00,259,0,,,Ryanair,0 days 03:10:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-25%20oneway%20direct&curr=EUR&gl=IT
2,2024-06-20 11:53:52.693412,5,FCO,LIS,2024-06-25 20:30:00,2024-06-25 22:40:00,259,0,,,Ryanair,0 days 03:10:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-25%20oneway%20direct&curr=EUR&gl=IT
3,2024-06-20 11:53:52.693412,6,FCO,LIS,2024-06-26 05:55:00,2024-06-26 08:05:00,290,0,,,Ryanair,0 days 03:10:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-26%20oneway%20direct&curr=EUR&gl=IT
4,2024-06-20 11:53:52.693412,6,FCO,LIS,2024-06-26 05:55:00,2024-06-26 08:05:00,290,0,,,Ryanair,0 days 03:10:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-26%20oneway%20direct&curr=EUR&gl=IT
5,2024-06-20 11:53:52.693412,6,FCO,LIS,2024-06-26 20:00:00,2024-06-26 22:10:00,327,0,,,Tap Air,0 days 03:10:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-26%20oneway%20direct&curr=EUR&gl=IT
6,2024-06-20 11:53:52.693412,6,FCO,LIS,2024-06-26 20:00:00,2024-06-26 22:10:00,327,0,,,Tap Air,0 days 03:10:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-26%20oneway%20direct&curr=EUR&gl=IT
7,2024-06-20 11:53:52.693412,5,FCO,LIS,2024-06-25 15:45:00,2024-06-25 17:50:00,337,0,,,Ryanair,0 days 03:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-25%20oneway%20direct&curr=EUR&gl=IT
8,2024-06-20 11:53:52.693412,6,FCO,LIS,2024-06-26 13:30:00,2024-06-26 15:35:00,337,0,,,Ryanair,0 days 03:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-26%20oneway%20direct&curr=EUR&gl=IT
9,2024-06-20 11:53:52.693412,6,FCO,LIS,2024-06-26 13:30:00,2024-06-26 15:35:00,337,0,,,Ryanair,0 days 03:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-26%20oneway%20direct&curr=EUR&gl=IT
10,2024-06-20 11:53:52.693412,5,FCO,LIS,2024-06-25 15:45:00,2024-06-25 17:50:00,337,0,,,Ryanair,0 days 03:05:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-25%20oneway%20direct&curr=EUR&gl=IT
11,2024-06-20 11:53:52.693412,5,FCO,LIS,2024-06-25 05:55:00,2024-06-25 08:05:00,417,0,,,Tap Air,0 days 03:10:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-25%20oneway%20direct&curr=EUR&gl=IT
12,2024-06-20 11:53:52.693412,5,FCO,LIS,2024-06-25 11:10:00,2024-06-25 13:20:00,417,0,,,Tap Air,0 days 03:10:00,,https://www.google.com/travel/flights?q=Flights%20to%20LIS%20from%20FCO%20on%202024-06-25%20oneway%20direct&curr=EUR&gl=IT
