iata,code
AAL,1
AAR,2
ABZ,3
AGA,4
AJA,5
AEY,6
AHU,7
AHO,8
ALC,9
LEI,10
ALF,11
AMS,12
AOI,13
ESB,15
AYT,16
ANR,17
GPA,19
ACE,20
ATH,21
BCN,23
GRO,24
REU,25
BRI,26
BSL,27
BIA,28
BHD,29
BFS,30
BEG,31
BGO,32
EGC,33
BRN,37
BIQ,38
BIO,39
BLL,40
BHX,41
BOO,43
BJV,44
BUD,45
BLQ,46
FRL,47
BOD,48
BOH,49
BWK,50
BTS,51
BRE,52
BES,53
BDS,54
BRS,55
BRQ,56
BRU,57
CRL,58
BBU,59
OTP,60
BOJ,61
BZG,62
CAG,63
CAI,64
CLY,65
CCF,66
CWL,67
CMN,68
CTA,69
CMF,70
CHQ,71
JKH,72
LDY,73
CGN,74
CND,75
CFU,76
ORK,77
DLM,79
DOL,80
DJE,82
CFN,85
DTM,86
DRS,87
DUB,88
DBV,89
MME,90
DUS,91
EDI,92
EIN,93
EBA,94
ERF,95
EBJ,96
EXT,97
FAO,98
FEZ,99
FLR,100
FRA,101
HHN,102
FDH,103
FUE,104
FNC,105
GDN,107
GVA,108
GOA,109
GIB,110
GLA,111
PIK,112
GOT,113
GRX,115
GRZ,116
GNB,117
GCI,118
HAM,119
HAJ,120
EVE,121
HAU,122
HEL,123
HER,124
HUY,125
HRG,126
IBZ,127
INN,128
INV,129
IOM,130
IST,131
SAW,132
ADB,133
XRY,134
JER,135
KGD,136
FKB,137
KTW,138
KUN,139
KIR,140
KKN,142
KRN,143
KTT,144
KLU,145
NOC,146
CPH,147
KGS,148
KSC,149
KRK,150
KRS,151
KUO,152
LCG,153
SPC,154
LRH,155
SUF,156
LMP,157
LCA,158
LPA,159
LBA,160
LEJ,161
MJT,163
LIG,165
LNZ,166
LIS,167
LPL,168
LJU,169
LCJ,170
LCY,171
LGW,172
LHR,173
LTN,174
STN,175
LRT,176
LDE,177
LBC,178
LUG,179
LGG,180
LLA,181
LUX,182
LXR,183
LYS,184
MST,185
MAD,186
MAH,187
AGP,188
MMX,189
MLA,190
MAN,191
RAK,192
RMF,193
MUH,194
MRS,195
BGY,196
LIN,197
MXP,198
MSQ,199
MIR,200
MPL,201
DME,202
SVO,203
VKO,204
MUC,205
FMO,206
JMK,208
NDR,209
NTE,210
NAP,211
NCL,212
NQY,213
