iata_from,iata_to
AAL,ALC
AAL,AMS
AAL,AYT
AAL,BCN
AAL,BLL
AAL,KUN
AAL,CPH
AAL,LPA
AAL,STN
AAL,AGP
AAL,NAP
AAL,OSL
AAL,PMI
AAL,KEF
AAL,TFS
AAL,RNN
AAL,EWR
AAL,FAE
AAL,SCR
AAR,OTP
AAR,CFU
AAR,FAO
AAR,GDN
AAR,HRG
AAR,CPH
AAR,STN
AAR,AGP
AAR,MXP
AAR,OSL
AAR,PMI
AAR,RIX
AAR,SSH
AAR,ARN
AAR,ZAD
AAR,BMA
AAR,RNN
AAR,VBY
ABZ,ALC
ABZ,AMS
ABZ,BHD
ABZ,BGO
ABZ,BHX
ABZ,BRS
ABZ,DUB
ABZ,MME
ABZ,EBJ
ABZ,FAO
ABZ,GDN
ABZ,GVA
ABZ,HUY
ABZ,CPH
ABZ,LGW
ABZ,LHR
ABZ,LTN
ABZ,AGP
ABZ,MAN
ABZ,NCL
ABZ,NWI
ABZ,OSL
ABZ,RIX
ABZ,SVG
ABZ,KOI
ABZ,LSI
ABZ,WIC
AGA,BSL
AGA,BHX
AGA,BOD
AGA,BRU
AGA,CRL
AGA,CMN
AGA,DUB
AGA,DUS
AGA,FEZ
AGA,FRA
AGA,HHN
AGA,GVA
AGA,GLA
AGA,HAM
AGA,HAJ
AGA,FKB
AGA,CPH
AGA,KRK
AGA,LPA
AGA,LEJ
AGA,LIS
AGA,LGW
AGA,LTN
AGA,STN
AGA,LUX
AGA,LYS
AGA,MAD
AGA,MAN
AGA,RAK
AGA,MRS
AGA,BGY
AGA,MUC
AGA,NTE
AGA,NRN
AGA,BVA
AGA,CDG
AGA,ORY
AGA,PGF
AGA,OPO
AGA,PRG
AGA,RIX
AGA,LIL
AGA,ARN
AGA,STR
AGA,TNG
AGA,TFS
AGA,TLS
AGA,VLC
AGA,WAW
AGA,WRO
AGA,ZRH
AGA,SXB
AGA,RBA
AGA,BER
AGA,EUN
AGA,VIL
AJA,BSL
AJA,BIQ
AJA,BOD
AJA,BES
AJA,CRL
AJA,CLY
AJA,GVA
AJA,LUX
AJA,LYS
AJA,MRS
AJA,MPL
AJA,NTE
AJA,NCE
AJA,OSL
AJA,CDG
AJA,ORY
AJA,RNS
AJA,LIL
AJA,FCO
AJA,TLN
AJA,TLS
AJA,ZRH
AJA,SXB
AJA,CFR
AJA,CFE
AJA,BVE
AEY,LGW
AEY,KEF
AEY,ZRH
AEY,CNP
AEY,GRY
AEY,RKV
AEY,THO
AEY,VPN
AHU,AMS
AHU,BRU
AHU,CMN
AHU,RTM
AHU,TNG
AHU,TTU
AHO,BCN
AHO,BRI
AHO,BLL
AHO,BUD
AHO,BLQ
AHO,BOD
AHO,BTS
AHO,CRL
AHO,OTP
AHO,CTA
AHO,ORK
AHO,DUB
AHO,GVA
AHO,KTW
AHO,STN
AHO,MAD
AHO,BGY
AHO,LIN
AHO,MXP
AHO,NAP
AHO,PMO
AHO,PSR
AHO,PSA
AHO,FCO
AHO,TRN
AHO,VCE
AHO,VRN
AHO,FMM
AHO,DWC
ALC,AAL
ALC,ABZ
ALC,AMS
ALC,ANR
ALC,ACE
ALC,BCN
ALC,BRI
ALC,BSL
ALC,BFS
ALC,BGO
ALC,BRN
ALC,BIO
ALC,BLL
ALC,BHX
ALC,BUD
ALC,BLQ
ALC,BOD
ALC,BOH
ALC,BRE
ALC,BRS
ALC,BRU
ALC,CRL
ALC,OTP
ALC,CAI
ALC,CWL
ALC,CGN
ALC,ORK
ALC,DTM
ALC,DUB
ALC,MME
ALC,DUS
ALC,EDI
ALC,EIN
ALC,EXT
ALC,FEZ
ALC,FRA
ALC,HHN
ALC,GDN
ALC,GVA
ALC,GLA
ALC,PIK
ALC,GOT
ALC,HAM
ALC,HAU
ALC,HEL
ALC,IBZ
ALC,FKB
ALC,KTW
ALC,KUN
ALC,KIR
ALC,KLU
ALC,NOC
ALC,CPH
ALC,KRK
ALC,KRS
ALC,LPA
ALC,LBA
ALC,LIS
ALC,LPL
ALC,LCJ
ALC,LGW
ALC,LTN
ALC,STN
ALC,LGG
ALC,LUX
ALC,LXR
ALC,LYS
ALC,MST
ALC,MAD
ALC,MAH
ALC,AGP
ALC,MAN
ALC,RAK
ALC,MRS
ALC,BGY
ALC,MXP
ALC,MUC
ALC,NDR
ALC,NTE
ALC,NCL
ALC,NQY
ALC,NRN
ALC,EMA
ALC,NUE
ALC,OST
ALC,OSL
ALC,TRF
ALC,OVD
ALC,PAD
ALC,PMI
ALC,BVA
ALC,CDG
ALC,ORY
ALC,OPO
ALC,POZ
ALC,PRG
ALC,KEF
ALC,RIX
ALC,FCO
ALC,RTM
ALC,SDR
ALC,SCQ
ALC,SVQ
ALC,SNN
